Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.93 ",20.15 ,2396798496,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.96 ",20.18 ,2397458892,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.03 ,-,0.03 ,"2,595.99 ",20.21 ,2398791812,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.04 ,-,0.04 ,"2,596.03 ",20.25 ,2441660511,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.04 ,-,0.04 ,"2,596.07 ",20.29 ,2476484188,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.12 ,-,0.12 ,"2,596.19 ",20.41 ,2512654576,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.04 ,-,0.04 ,"2,596.23 ",20.45 ,2522815064,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.06 ,-,0.06 ,"2,596.29 ",20.51 ,2579513275,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.06 ,-,0.06 ,"2,596.35 ",20.57 ,2607765706,Stocks,0.00 
15/02/2024 00:06:07,Dividend,O/USD,0.06 ,-,0.06 ,"2,596.41 ",20.63 ,2610207502,Stocks,0.00 
15/02/2024 00:06:08,Dividend,AAPL/USD,0.06 ,-,0.06 ,"2,596.47 ",20.69 ,2149086741,Stocks,0.00 
15/02/2024 00:06:08,Dividend,AAPL/USD,0.03 ,-,0.03 ,"2,596.50 ",20.72 ,2155709084,Stocks,0.00 
15/02/2024 00:06:08,Dividend,AAPL/USD,0.07 ,-,0.07 ,"2,596.57 ",20.79 ,2187159742,Stocks,0.00 
15/02/2024 00:06:08,Dividend,AAPL/USD,0.04 ,-,0.04 ,"2,596.61 ",20.83 ,2347008762,Stocks,0.00 
15/02/2024 00:06:08,Dividend,AAPL/USD,0.01 ,-,0.01 ,"2,596.62 ",20.84 ,2443110647,Stocks,0.00 
20/02/2024 14:30:24,Open Position,O/USD,10.84 ,0.207544,0.00 ,"2,596.62 ",10.00 ,2627966783,Stocks,0.00 
20/02/2024 16:55:20,Open Position,O/USD,10.00 ,0.190404,0.00 ,"2,596.62 ",0.00 ,2628618525,Stocks,0.00 
23/02/2024 00:08:28,Dividend,C/USD,0.19 ,-,0.19 ,"2,596.81 ",0.19 ,2571196743,Stocks,0.00 
23/02/2024 00:08:28,Dividend,C/USD,0.08 ,-,0.08 ,"2,596.89 ",0.27 ,2595816575,Stocks,0.00 
29/02/2024 19:34:58,Deposit Conversion Fee,-,0.00 ,-,0.00 ,"2,676.89 ",80.27 ,-,-,0.00 
29/02/2024 19:34:58,Deposit,80.00 USD CreditCard,80.00 ,-,80.00 ,"2,676.89 ",80.27 ,-,-,0.00 
29/02/2024 19:38:50,Open Position,O/USD,52.27 ,1.002109,0.00 ,"2,676.89 ",28.00 ,2637401636,Stocks,0.00 
29/02/2024 19:42:39,Open Position,WPC/USD,28.00 ,0.496542,0.00 ,"2,676.89 ",0.00 ,2637404782,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.14 ,-,0.14 ,"2,677.03 ",0.14 ,1291793597,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.07 ,-,0.07 ,"2,677.10 ",0.21 ,2187160781,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.11 ,-,0.11 ,"2,677.21 ",0.32 ,2347008853,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.06 ,-,0.06 ,"2,677.27 ",0.38 ,2385560783,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.06 ,-,0.06 ,"2,677.33 ",0.44 ,2396799346,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.03 ,-,0.03 ,"2,677.36 ",0.47 ,2423194375,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.03 ,-,0.03 ,"2,677.39 ",0.50 ,2495683673,Stocks,0.00 
01/03/2024 00:28:02,Dividend,INTC/USD,0.03 ,-,0.03 ,"2,677.42 ",0.53 ,2522111492,Stocks,0.00 
08/03/2024 16:13:46,Deposit,240.00 USD CreditCard,240.00 ,-,240.00 ,"2,917.42 ",240.53 ,-,-,0.00 
08/03/2024 16:13:46,Deposit Conversion Fee,-,0.00 ,-,0.00 ,"2,917.42 ",240.53 ,-,-,0.00 
08/03/2024 16:16:50,Open Position,AAPL/USD,40.00 ,0.233304,0.00 ,"2,917.42 ",200.53 ,2648808799,Stocks,0.00 
11/03/2024 00:17:09,Dividend,CVX/USD,0.08 ,-,0.08 ,"2,917.50 ",200.61 ,2385557052,Stocks,0.00 
11/03/2024 12:08:36,Edit Stop Loss,-,(0.31),-,0.00 ,"2,917.50 ",200.30 ,2622885954,-,0.00 
11/03/2024 13:30:07,Open Position,QQQ/USD,50.00 ,0.114208,0.00 ,"2,917.50 ",150.30 ,2650551824,CFD,0.00 
11/03/2024 13:30:14,Open Position,VICI/USD,30.00 ,1.030574,0.00 ,"2,917.50 ",120.30 ,2650560425,Stocks,0.00 
11/03/2024 13:30:22,Open Position,PYPL/USD,20.30 ,0.342963,0.00 ,"2,917.50 ",100.00 ,2650568014,Stocks,0.00 
12/03/2024 18:05:22,Open Position,SBUX/USD,100.00 ,1.082954,0.00 ,"2,917.50 ",0.00 ,2652749671,Stocks,0.00 
14/03/2024 02:13:23,Dividend,MSFT/USD,0.02 ,-,0.02 ,"2,917.52 ",0.02 ,2539999733,Stocks,0.00 
14/03/2024 02:13:23,Dividend,MSFT/USD,0.02 ,-,0.02 ,"2,917.54 ",0.04 ,2575922330,Stocks,0.00 
14/03/2024 02:13:23,Dividend,MSFT/USD,0.02 ,-,0.02 ,"2,917.56 ",0.06 ,2623151140,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.59 ",0.09 ,2348193684,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.62 ",0.12 ,2385562140,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.65 ",0.15 ,2394930836,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.68 ",0.18 ,2395830103,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.71 ",0.21 ,2396798496,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.74 ",0.24 ,2397458892,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.03 ,-,0.03 ,"2,917.77 ",0.27 ,2398791812,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.04 ,-,0.04 ,"2,917.81 ",0.31 ,2441660511,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.04 ,-,0.04 ,"2,917.85 ",0.35 ,2476484188,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.12 ,-,0.12 ,"2,917.97 ",0.47 ,2512654576,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.04 ,-,0.04 ,"2,918.01 ",0.51 ,2522815064,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.06 ,-,0.06 ,"2,918.07 ",0.57 ,2579513275,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.06 ,-,0.06 ,"2,918.13 ",0.63 ,2607765706,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.06 ,-,0.06 ,"2,918.19 ",0.69 ,2610207502,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.05 ,-,0.05 ,"2,918.24 ",0.74 ,2627966783,Stocks,0.00 
15/03/2024 00:39:05,Dividend,O/USD,0.04 ,-,0.04 ,"2,918.28 ",0.78 ,2628618525,Stocks,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.31 ",0.81 ,2413917649,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.34 ",0.84 ,2415511766,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.37 ",0.87 ,2416275861,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.40 ",0.90 ,2425138397,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.43 ",0.93 ,2431784489,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.46 ",0.96 ,2437778608,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.49 ",0.99 ,2438402480,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.52 ",1.02 ,2440458918,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.55 ",1.05 ,2441110114,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.58 ",1.08 ,2442342413,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.07 ,-,0.07 ,"2,918.65 ",1.15 ,2445015667,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.68 ",1.18 ,2445747600,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.71 ",1.21 ,2446536172,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.74 ",1.24 ,2447348810,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.77 ",1.27 ,2448088110,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.06 ,-,0.06 ,"2,918.83 ",1.33 ,2449085723,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.86 ",1.36 ,2450369597,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.89 ",1.39 ,2451527978,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.92 ",1.42 ,2451790898,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.95 ",1.45 ,2452822837,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,918.98 ",1.48 ,2453752410,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.01 ",1.51 ,2454318023,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.07 ,-,0.07 ,"2,919.08 ",1.58 ,2455861972,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.11 ",1.61 ,2457017561,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.14 ",1.64 ,2458123686,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.09 ,-,0.09 ,"2,919.23 ",1.73 ,2460960972,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.26 ",1.76 ,2461786763,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.29 ",1.79 ,2462493312,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.06 ,-,0.06 ,"2,919.35 ",1.85 ,2464938252,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.38 ",1.88 ,2465878818,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.41 ",1.91 ,2466621158,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.44 ",1.94 ,2466957117,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.47 ",1.97 ,2472032684,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.06 ,-,0.06 ,"2,919.53 ",2.03 ,2472743365,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.56 ",2.06 ,2474685821,CFD,0.00 
16/03/2024 00:44:08,Dividend,SPY/USD,0.03 ,-,0.03 ,"2,919.59 ",2.09 ,2619114544,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.02 ,-,0.02 ,"2,919.61 ",2.11 ,2421596765,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.02 ,-,0.02 ,"2,919.63 ",2.13 ,2433265241,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.02 ,-,0.02 ,"2,919.65 ",2.15 ,2434882453,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.02 ,-,0.02 ,"2,919.67 ",2.17 ,2436405698,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.68 ",2.18 ,2439695554,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.69 ",2.19 ,2484330268,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.70 ",2.20 ,2486662343,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.71 ",2.21 ,2489603207,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.72 ",2.22 ,2497561497,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.73 ",2.23 ,2513716111,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.74 ",2.24 ,2515830968,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.03 ,-,0.03 ,"2,919.77 ",2.27 ,2518099434,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.78 ",2.28 ,2519305708,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.79 ",2.29 ,2522826302,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.01 ,-,0.01 ,"2,919.80 ",2.30 ,2524438482,CFD,0.00 
20/03/2024 01:49:04,Dividend,QQQ/USD,0.06 ,-,0.06 ,"2,919.86 ",2.36 ,2650551824,CFD,0.00 
22/03/2024 01:14:43,Dividend,BLK/USD,0.07 ,-,0.07 ,"2,919.93 ",2.43 ,2539738620,Stocks,0.00 
22/03/2024 01:14:43,Dividend,BLK/USD,0.06 ,-,0.06 ,"2,919.99 ",2.49 ,2568120689,Stocks,0.00 
26/03/2024 01:42:56,Dividend,META/USD,0.08 ,-,0.08 ,"2,920.07 ",2.57 ,2149124237,Stocks,0.00 
27/03/2024 02:49:16,Dividend,VOO/USD,0.03 ,-,0.03 ,"2,920.10 ",2.60 ,2437779641,CFD,0.00 
27/03/2024 02:49:16,Dividend,VOO/USD,0.07 ,-,0.07 ,"2,920.17 ",2.67 ,2477564225,CFD,0.00 
27/03/2024 02:49:16,Dividend,VOO/USD,0.03 ,-,0.03 ,"2,920.20 ",2.70 ,2524451967,CFD,0.00 
28/03/2024 00:24:29,Dividend,GS/USD,0.07 ,-,0.07 ,"2,920.27 ",2.77 ,2427566438,Stocks,0.00 
28/03/2024 00:24:29,Dividend,GS/USD,0.07 ,-,0.07 ,"2,920.34 ",2.84 ,2429249628,Stocks,0.00 
28/03/2024 00:24:29,Dividend,GS/USD,0.07 ,-,0.07 ,"2,920.41 ",2.91 ,2440460711,Stocks,0.00 
